Name,Formula,#CH3,#CH2,#CH,#C,#OH,#C-O-C,#O=C,DBA,#N,#Hal,O:C,M / g/mol,Tm / K,Tg / K,Tg/Tm,Tm/Tg,#S,#branching,#C:#OH,DBA:#C,#CH:#C,#Hal:#C
maltitol,C12H24O11,0,3,9,0,9,2,0,1,0,0,0.9167,344.0,420.9,311.5,0.740080779,1.351203852,0,9,0.0,0.0,0.0,0.0
flopropione,C9H10O4,1,1,2,5,3,0,1,5,0,0,0.4444,182.0,448.65,335.0,0.746684498,1.339253731,0,7,1.6666666666666667,1.0,0.4,0.0
2-methyl-1-propanol,C4H10O,2,1,1,0,1,0,0,0,0,0,0.25,74.0,171.25,116.8333333,0.682238443,1.465763196,0,1,0.0,0.0,0.0,0.0
n-hexanol,C6H14O,1,5,0,0,1,0,0,0,0,0,0.1667,102.0,224.1666667,128.2333333,0.572044609,1.748115415,0,0,0.0,0.0,0.0,0.0
n-pentanol,C5H12O,1,4,0,0,1,0,0,0,0,0,0.2,88.0,195.3666667,120.5666667,0.617130183,1.620403649,0,0,0.0,0.0,0.0,0.0
benzyl alcohol,C7H8O,0,1,5,1,1,0,0,4,0,0,0.1429,108.0,258.0,168.0,0.651162791,1.535714286,0,6,1.0,4.0,5.0,0.0
"propan-1,2-diol",C3H8O2,1,1,1,0,2,0,0,0,0,0,0.6667,76.0,214.4333333,166.0666667,0.774444272,1.291248494,0,1,0.0,0.0,0.0,0.0
resorcinol,C6H6O2,0,0,4,2,2,0,0,4,0,0,0.3333,110.0,383.0,250.0,0.652741514,1.532,0,6,1.0,2.0,2.0,0.0
phenyl-salicylate,C13H10O3,0,0,9,4,1,1,1,9,0,0,0.2308,214.0,315.1,219.3,0.695969533,1.436844505,0,13,4.0,2.25,2.25,0.0
phenyl salicylate,C13H10O3,0,0,9,4,1,1,1,9,0,0,0.2308,214.0,316.15,216.5,0.684801518,1.460277136,0,13,4.0,2.25,2.25,0.0
dimethylphthalat,C10H10O4,2,0,4,4,0,2,2,6,0,0,0.4,194.0,276.425,193.225,0.699014199,1.430586104,0,8,0.0,1.5,1.0,0.0
diethylphthalat,C12H14O4,2,2,4,4,0,2,2,6,0,0,0.3333,222.0,252.075,180.325,0.715362491,1.397892694,0,8,0.0,1.5,1.0,0.0
2-ethyl-1-hexanol,C8H18O,2,5,1,0,1,0,0,0,0,0,0.125,130.0,203.15,146.9333333,0.723275084,1.382599819,0,1,0.0,0.0,0.0,0.0
5-methyl-3-heptanol,C8H18O,3,3,2,0,1,0,0,0,0,0,0.125,130.0,181.95,159.0,0.873866447,1.144339623,0,2,0.0,0.0,0.0,0.0
2-phenyl-1-ethanol,C8H10O,0,2,5,1,1,0,0,4,0,0,0.125,122.0,246.15,181.4,0.736949015,1.356945976,0,6,1.0,4.0,5.0,0.0
2-butanol,C4H10O,2,1,1,0,1,0,0,0,0,0,0.25,74.0,174.6375,115.835,0.66328824,1.507640178,0,1,0.0,0.0,0.0,0.0
"2,2-dimethyl-1-propanol",C5H12O,3,1,0,1,1,0,0,0,0,0,0.2,88.0,325.65,166.0,0.509749731,1.961746988,0,1,1.0,0.0,0.0,0.0
